LINE.DEPTH.CMD NUMBER 	COMBINED WALL-CLOCK TIME        	COMBINED CPU TIME               	COMMAND                             
│  ├─ 1.2.0:      	( 0.000055s |  1.50% |  0.00% )   ( 0.000070s |  1.89% |  0.02% )    	(1x)	gg 1
│  │  8.2.0:        	( 0.000066s |  1.80% |  0.00% )   ( 0.000080s |  2.16% |  0.03% )    	(1x)	echo "$*"
│  │  8.2.1:        	( 0.001863s | 50.94% |  0.13% )   ( 0.001864s | 50.44% |  0.79% )    	(1x)	<< (FUNCTION): main.gg.ff "$@" >>
│  │  ├─ 1.3.0: 	( 0.000057s |  3.05% |  0.00% )   ( 0.000070s |  3.75% |  0.02% )    	(1x)	ff "$@"
│  │  └─ 8.3.0: 	( 0.001806s | 48.46% |  0.13% )   ( 0.001794s | 48.12% |  0.76% )    	(2x)	echo "${*}"
│  └─ 8.2.2:      	( 0.001673s | 45.74% |  0.12% )   ( 0.001681s | 45.49% |  0.71% )    	(1x)	echo "${*}"
│  118.1.0:           	( 0.000066s |  0.17% |  0.00% )   ( 0.000077s |  0.20% |  0.03% )    	(1x)	exit
└─ -53.1.0:         	( 0.001629s |  4.22% |  0.12% )   ( 0.001638s |  4.31% |  0.69% )    	(1x)	'TRAP (EXIT): echo exit'

123.0.0:               	( 0.017085s |  1.27% )            ( 0.017068s |  7.25% )             	(1x)	<< (SUBSHELL) >>
├─ 123.1.0:         	( 0.017019s | 99.61% |  1.27% )   ( 0.016989s | 99.53% |  7.22% )    	(1x)	trap '' RETURN EXIT
└─ 124.1.0:         	( 0.000066s |  0.38% |  0.00% )   ( 0.000079s |  0.46% |  0.03% )    	(1x)	exit

129.0.0:               	( 0.012020s |  0.89% )            ( 0.012000s |  5.10% )             	(1x)	<< (SUBSHELL) >>
├─ 129.1.0:         	( 0.011955s | 99.45% |  0.89% )   ( 0.011921s | 99.34% |  5.07% )    	(1x)	trap - EXIT
└─ 130.1.0:         	( 0.000065s |  0.54% |  0.00% )   ( 0.000079s |  0.65% |  0.03% )    	(1x)	exit

133.0.0:               	( 0.000566s |  0.04% )            ( 0.000672s |  0.28% )             	(1x)	<< (SUBSHELL) >>
├─ 133.1.0:         	( 0.000112s | 19.78% |  0.00% )   ( 0.000133s | 19.79% |  0.05% )    	(1x)	echo $BASHPID
│  133.1.1:           	( 0.000454s | 80.21% |  0.03% )   ( 0.000539s | 80.20% |  0.22% )    	(1x)	<< (SUBSHELL) >>
│  ├─ 133.2.0:    	( 0.000080s | 17.62% |  0.00% )   ( 0.000096s | 17.81% |  0.04% )    	(1x)	echo $BASHPID
│  │  133.2.1:      	( 0.000374s | 82.37% |  0.02% )   ( 0.000443s | 82.18% |  0.18% )    	(1x)	<< (SUBSHELL) >>
│  │  ├─ 133.3.0: 	( 0.000079s | 21.12% |  0.00% )   ( 0.000095s | 21.44% |  0.04% )    	(1x)	echo $BASHPID
│  │  │  133.3.1: 	( 0.000295s | 78.87% |  0.02% )   ( 0.000348s | 78.55% |  0.14% )    	(1x)	<< (SUBSHELL) >>
└─ └─ └─ └─ 133.4.0: 	( 0.000295s |100.00% |  0.02% )   ( 0.000348s |100.00% |  0.14% )    	(1x)	echo $BASHPID


TOTAL RUN TIME: 1.338911s
TOTAL CPU TIME: 0.235100s
